Name	Type	Length	%GC	Description 	    
ECs1457	N	258	47.29	BA000007_1528197_1528454 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1458	N	963	53.27	BA000007_1528537_1529499 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1459	N	3447	54.95	BA000007_1529643_1533089 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1460	N	1074	48.88	BA000007_1533217_1534290 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1461	N	1200	54.25	BA000007_1534552_1535751 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1462	N	687	55.60	BA000007_1535759_1536445 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1463	N	1245	51.57	BA000007_1536445_1537689 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1464	N	912	53.40	BA000007_1537718_1538629 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1465	N	822	51.22	BA000007_1538645_1539466 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1466	N	1047	51.19	BA000007_1539622_1540668 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1467	N	795	50.44	BA000007_1540665_1541459 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1468	N	1119	45.31	BA000007_1541626_1542744 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1469	N	270	47.04	BA000007_1542713_1542982 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1470	N	438	48.86	BA000007_1543044_1543481 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1471	N	558	41.04	BA000007_1543524_1544081 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1472	N	231	50.22	BA000007_1544196_1544426 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1473	N	477	42.56	BA000007_1544664_1545140 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1474	N	324	42.90	BA000007_1545265_1545588 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1475	N	426	52.82	BA000007_1545572_1545997 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1476	N	1038	54.62	BA000007_1546066_1547103 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1477	N	594	56.73	BA000007_1546964_1547557 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1478	N	717	53.00	BA000007_1547591_1548307 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1479	N	318	52.83	BA000007_1548304_1548621 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1480	N	303	53.80	BA000007_1548618_1548920 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1481	N	318	47.17	BA000007_1548910_1549227 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1482	N	318	44.65	BA000007_1549181_1549498 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1483	N	438	50.23	BA000007_1549485_1549922 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1484	N	192	41.15	BA000007_1549924_1550115 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1485	N	588	48.98	BA000007_1550118_1550705 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1486	N	156	48.08	BA000007_1550914_1551069 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1487	N	213	52.58	BA000007_1551114_1551326 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1488	N	279	54.12	BA000007_1551494_1551772 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1489	N	1050	53.81	BA000007_1551774_1552823 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1490	N	375	52.27	BA000007_1552836_1553210 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1491	N	822	47.81	BA000007_1553207_1554028 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1492	N	501	53.09	BA000007_1554441_1554941 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1493	N	186	48.39	BA000007_1554893_1555078 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1494	N	1938	54.23	BA000007_1555107_1557044 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1495	N	183	46.45	BA000007_1557192_1557374 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1496	N	270	55.19	BA000007_1557412_1557681 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1497	N	216	54.17	BA000007_1557757_1557972 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1498	N	345	46.96	BA000007_1557977_1558321 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1499	N	534	54.68	BA000007_1558372_1558905 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1500	N	570	46.32	BA000007_1559176_1559745 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1501	N	468	55.13	BA000007_1559899_1560366 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1502	N	207	59.90	BA000007_1560119_1560325 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1503	N	225	45.33	BA000007_1560390_1560614 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1504	N	219	53.88	BA000007_1560611_1560829 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1505	N	141	39.72	BA000007_1560971_1561111 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1506	N	186	44.09	BA000007_1561241_1561426 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1507	N	366	56.83	BA000007_1561468_1561833 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1508	N	564	54.96	BA000007_1562123_1562686 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1509	N	1662	57.82	BA000007_1562683_1564344 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1510	N	1938	60.01	BA000007_1564408_1566345 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1511	N	2502	55.80	BA000007_1566557_1569058 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1512	N	327	55.35	BA000007_1569138_1569464 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1513	N	351	58.12	BA000007_1569474_1569824 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1514	N	447	57.72	BA000007_1569821_1570267 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1515	N	345	60.00	BA000007_1570264_1570608 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1516	N	717	53.28	BA000007_1570667_1571383 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1517	N	375	57.33	BA000007_1571389_1571763 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1518	N	282	59.57	BA000007_1571787_1572068 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1519	N	426	57.04	BA000007_1572121_1572546 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1520	N	2859	57.47	BA000007_1572506_1575364 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1521	N	342	57.60	BA000007_1575357_1575698 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1522	N	699	58.08	BA000007_1575698_1576396 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1523	N	255	41.18	BA000007_1576413_1576667 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1524	N	879	44.25	BA000007_1577190_1578068 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1526	N	738	58.13	BA000007_1578122_1578859 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1525	N	285	54.39	BA000007_1578757_1579041 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1527	N	2349	35.46	BA000007_1579163_1581511 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1528	N	3402	31.72	BA000007_1582102_1585503 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1529	N	156	41.67	BA000007_1585490_1585645 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1530	N	450	39.56	BA000007_1585672_1586121 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1531	N	906	54.86	BA000007_1586046_1586951 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1532	N	162	52.47	BA000007_1587113_1587274 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1533	N	174	33.91	BA000007_1587559_1587732 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1534	N	276	38.77	BA000007_1587812_1588087 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1535	N	1362	40.31	BA000007_1588148_1589509 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1536	N	213	34.27	BA000007_1589630_1589842 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1537	N	864	50.46	BA000007_1589873_1590736 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1538	N	1137	50.84	BA000007_1590720_1591856 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1539	N	1227	49.88	BA000007_1592106_1593332 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1540	N	1131	53.58	BA000007_1593381_1594511 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1541	N	1230	51.54	BA000007_1594751_1595980 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1542	N	189	50.26	BA000007_1596345_1596533 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1543	N	744	47.04	BA000007_1596591_1597334 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1544	N	198	53.03	BA000007_1597360_1597557 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1545	N	186	41.94	BA000007_1597550_1597735 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1546	N	192	42.71	BA000007_1597735_1597926 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1547	N	243	39.09	BA000007_1597916_1598158 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1548	N	300	48.00	BA000007_1598164_1598463 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1549	N	966	53.00	BA000007_1598460_1599425 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1550	N	222	55.41	BA000007_1599501_1599722 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1551	N	807	53.04	BA000007_1599788_1600594 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1552	N	345	42.32	BA000007_1600591_1600935 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1553	N	252	49.21	BA000007_1600965_1601216 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1554	N	411	58.64	BA000007_1601213_1601623 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1555	N	273	54.21	BA000007_1601634_1601906 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1556	N	225	44.00	BA000007_1602031_1602255 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1557	N	1158	50.78	BA000007_1602548_1603705 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1558	N	558	56.45	BA000007_1603760_1604317 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1559	N	1212	56.68	BA000007_1604319_1605530 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1560	N	339	56.34	BA000007_1605527_1605865 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1561	N	297	51.52	BA000007_1605862_1606158 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1562	N	441	55.10	BA000007_1606158_1606598 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1563	N	174	51.72	BA000007_1606591_1606764 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1564	N	357	55.18	BA000007_1606888_1607244 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1565	N	1662	52.71	BA000007_1607228_1608889 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1566	N	282	52.48	BA000007_1608903_1609184 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1567	N	276	45.65	BA000007_1609489_1609764 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1568	N	1461	50.92	BA000007_1610041_1611501 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1569	N	672	47.32	BA000007_1611501_1612172 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1570	N	1371	52.59	BA000007_1612341_1613711 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1571	N	642	57.17	BA000007_1613715_1614356 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1572	N	1152	53.12	BA000007_1614392_1615543 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1573	N	462	50.43	BA000007_1615552_1616013 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1574	N	654	51.07	BA000007_1616023_1616676 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1575	N	1251	50.28	BA000007_1616848_1618098 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1576	N	1143	43.39	BA000007_1618212_1619354 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1577	N	237	47.26	BA000007_1619344_1619580 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1578	N	825	46.30	BA000007_1619684_1620508 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1579	N	702	52.99	BA000007_1620505_1621206 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1580	N	303	50.17	BA000007_1621203_1621505 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1581	N	333	41.74	BA000007_1621573_1621905 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1582	N	1527	35.56	BA000007_1622150_1623676 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1583	N	456	50.66	BA000007_1624178_1624633 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1584	N	171	47.95	BA000007_1624633_1624803 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1585	N	291	51.89	BA000007_1624796_1625086 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1586	N	363	53.72	BA000007_1625083_1625445 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1587	N	690	47.39	BA000007_1625579_1626268 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1588	N	318	48.74	BA000007_1626578_1626895 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1589	N	477	49.90	BA000007_1626882_1627358 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1590	N	462	50.87	BA000007_1627355_1627816 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1591	N	183	56.28	BA000007_1627575_1627757 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1592	N	294	43.54	BA000007_1627848_1628141 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1593	N	453	33.55	BA000007_1628433_1628885 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1594	N	207	39.61	BA000007_1629129_1629335 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1595	N	195	43.08	BA000007_1629500_1629694 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1596	N	546	52.56	BA000007_1630083_1630628 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1597	N	1926	54.26	BA000007_1630603_1632528 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1598	N	207	54.59	BA000007_1632525_1632731 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1599	N	1602	58.55	BA000007_1632728_1634329 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1600	N	1320	60.76	BA000007_1634310_1635629 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1601	N	333	59.76	BA000007_1635639_1635971 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1602	N	1026	56.34	BA000007_1636027_1637052 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1603	N	399	56.89	BA000007_1637094_1637492 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1604	N	354	57.91	BA000007_1637504_1637857 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1605	N	579	55.09	BA000007_1637869_1638447 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1606	N	396	54.29	BA000007_1638444_1638839 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1607	N	741	58.43	BA000007_1638847_1639587 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1608	N	423	54.14	BA000007_1639603_1640025 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1609	N	435	56.32	BA000007_1640007_1640441 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1610	N	2550	58.39	BA000007_1640434_1642983 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1611	N	330	57.58	BA000007_1642980_1643309 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1612	N	699	55.79	BA000007_1643309_1644007 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1613	N	744	59.27	BA000007_1644013_1644756 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1614	N	672	59.52	BA000007_1644654_1645325 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1615	N	3399	56.16	BA000007_1645386_1648784 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1616	N	600	55.67	BA000007_1648851_1649450 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1617	N	2916	54.66	BA000007_1649515_1652430 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1618	N	582	47.25	BA000007_1652430_1653011 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1619	N	891	42.87	BA000007_1653131_1654021 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1620	N	507	39.64	BA000007_1654040_1654546 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1621	N	501	37.92	BA000007_1654583_1655083 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1622	N	183	47.54	BA000007_1655162_1655344 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1623	N	432	41.20	BA000007_1655842_1656273 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1624	N	249	48.19	BA000007_1656567_1656815 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1625	N	381	51.71	BA000007_1656891_1657271 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1626	N	348	58.62	BA000007_1657268_1657615 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1627	N	1539	58.48	BA000007_1657665_1659203 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1628	N	165	55.15	BA000007_1659110_1659274 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1629	N	1485	42.15	BA000007_1659506_1660990 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1630	N	954	43.40	BA000007_1661177_1662130 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1631	N	585	44.27	BA000007_1662629_1663213 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1632	N	327	54.13	BA000007_1663387_1663713 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1633	N	891	53.87	BA000007_1663710_1664600 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1634	N	705	51.21	BA000007_1664690_1665394 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1635	N	267	43.07	BA000007_1665766_1666032 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1636	N	813	49.69	BA000007_1666036_1666848 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1637	N	696	50.86	BA000007_1666872_1667567 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1638	N	369	42.28	BA000007_1668087_1668455 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1639	N	402	43.03	BA000007_1668558_1668959 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1640	N	201	45.77	BA000007_1668988_1669188 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1641	N	327	43.12	BA000007_1669167_1669493 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1642	N	660	52.42	BA000007_1669565_1670224 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1643	N	477	47.38	BA000007_1670286_1670762 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1644	N	918	41.29	BA000007_1670969_1671886 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1645	N	420	48.33	BA000007_1672253_1672672 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1646	N	1269	50.91	BA000007_1672672_1673940 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1647	N	531	52.35	BA000007_1673986_1674516 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1648	N	1542	52.59	BA000007_1674662_1676203 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1649	N	720	51.39	BA000007_1676425_1677144 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1650	N	1533	49.84	BA000007_1677196_1678728 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1651	N	1299	56.12	BA000007_1679091_1680389 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1652	N	990	56.97	BA000007_1680399_1681388 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1653	N	1611	53.76	BA000007_1681862_1683472 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1654	N	915	52.57	BA000007_1683694_1684608 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1655	N	726	50.83	BA000007_1684594_1685319 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1656	N	891	53.09	BA000007_1685507_1686397 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1657	N	327	52.60	BA000007_1686394_1686720 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1658	N	597	50.08	BA000007_1686772_1687368 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1659	N	255	54.12	BA000007_1687569_1687823 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1660	N	1971	50.13	BA000007_1687873_1689843 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1661	N	855	52.28	BA000007_1689869_1690723 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1662	N	282	53.55	BA000007_1690662_1690943 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1663	N	645	53.64	BA000007_1690888_1691532 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1664	N	759	54.02	BA000007_1691542_1692300 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1665	N	981	54.03	BA000007_1692297_1693277 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1666	N	1023	53.57	BA000007_1693277_1694299 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1667	N	201	32.34	BA000007_1694407_1694607 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1668	N	1257	52.27	BA000007_1694635_1695891 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1669	N	366	50.55	BA000007_1695954_1696319 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1670	N	1422	50.56	BA000007_1696639_1698060 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1671	N	633	53.55	BA000007_1698068_1698700 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1672	N	1101	52.77	BA000007_1698711_1699811 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1673	N	477	50.73	BA000007_1700000_1700476 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1674	N	1644	49.64	BA000007_1700116_1701759 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1675	N	1092	51.10	BA000007_1702603_1703694 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1676	N	585	50.26	BA000007_1703811_1704395 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1677	N	279	53.05	BA000007_1704673_1704951 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1678	N	1653	54.87	BA000007_1705006_1706658 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1679	N	948	52.64	BA000007_1706810_1707757 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1680	N	852	53.64	BA000007_1707908_1708759 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1681	N	624	51.28	BA000007_1708759_1709382 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1682	N	1257	53.94	BA000007_1709596_1710852 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1683	N	1083	52.91	BA000007_1710894_1711976 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1684	N	834	55.76	BA000007_1711976_1712809 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1685	N	393	47.07	BA000007_1712806_1713198 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1686	N	810	46.79	BA000007_1713202_1714011 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1688	N	855	51.70	BA000007_1714047_1714901 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1687	N	1101	48.96	BA000007_1716091_1717191 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1689	N	231	45.89	BA000007_1717461_1717691 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1690	N	720	55.00	BA000007_1717828_1718547 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1691	N	354	51.69	BA000007_1718591_1718944 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1692	N	1254	51.44	BA000007_1719271_1720524 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1693	N	651	51.92	BA000007_1720525_1721175 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1694	N	1797	53.42	BA000007_1721168_1722964 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1695	N	1392	53.52	BA000007_1723303_1724694 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1696	N	3744	54.94	BA000007_1725087_1728830 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1697	N	1539	53.93	BA000007_1728827_1730365 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1698	N	711	55.70	BA000007_1730362_1731072 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1699	N	678	55.16	BA000007_1731072_1731749 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1700	N	276	57.97	BA000007_1731932_1732207 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1701	N	843	47.92	BA000007_1732827_1733669 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1702	N	459	46.41	BA000007_1733719_1734177 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1703	N	945	50.37	BA000007_1734251_1735195 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1704	N	1014	48.82	BA000007_1735287_1736300 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1705	N	909	46.97	BA000007_1736502_1737410 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1706	N	414	47.34	BA000007_1737554_1737967 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1707	N	618	42.56	BA000007_1738571_1739188 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1708	N	2676	50.90	BA000007_1739489_1742164 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1709	N	648	48.15	BA000007_1742641_1743288 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1710	N	1632	48.10	BA000007_1744026_1745657 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1711	N	921	46.58	BA000007_1745743_1746663 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1712	N	909	52.37	BA000007_1746678_1747586 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1713	N	1014	51.68	BA000007_1747598_1748611 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1714	N	1005	51.74	BA000007_1748608_1749612 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1715	N	408	47.79	BA000007_1749665_1750072 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1716	N	1461	51.68	BA000007_1750029_1751489 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1717	N	1254	42.26	BA000007_1751860_1753113 [CDS]	Escherichia coli O157:H7 str. Sakai
ECs1718	N	393	47.33	BA000007_1753414_1753806 [CDS]	Escherichia coli O157:H7 str. Sakai
